Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
NIFTY BANK,Long,2019-05-08 09:35:00,29176.6,2019-05-08 10:15:00,29119.65,-56.95,-1610.75
NIFTY BANK,Short,2019-05-20 10:35:00,30384.5,2019-05-20 12:10:00,30456.3,-71.8,-1682.55
NIFTY BANK,Short,2019-05-20 13:50:00,30582.7,2019-05-20 13:55:00,30633.8,-51.1,-1733.65
NIFTY BANK,Short,2019-05-20 14:20:00,30706.75,2019-05-20 14:55:00,30726.5,-19.75,-1753.40
NIFTY BANK,Short,2019-05-23 10:45:00,31569.95,2019-05-23 12:45:00,30940.25,629.70,-1123.70
NIFTY BANK,Short,2019-05-24 13:25:00,30973.6,2019-05-24 15:00:00,31157.85,-184.25,-1307.95
NIFTY BANK,Short,2019-06-25 14:25:00,30846.7,2019-06-25 14:35:00,30892.55,-45.85,-1353.80
NIFTY BANK,Short,2019-08-26 14:25:00,27871.8,2019-08-26 15:00:00,27945.45,-73.65,-1427.45
NIFTY BANK,Short,2019-08-27 09:35:00,28040.05,2019-08-27 10:30:00,28233.5,-193.45,-1620.90
NIFTY BANK,Short,2019-09-20 12:20:00,28707.8,2019-09-20 14:00:00,29082.65,-374.85,-1995.75
NIFTY BANK,Short,2019-09-23 12:50:00,30680.65,2019-09-23 14:20:00,30617.15,63.50,-1932.25
NIFTY BANK,Short,2019-12-30 09:55:00,32550.55,2019-12-30 10:00:00,32559.65,-9.10,-1941.35
NIFTY BANK,Short,2020-01-09 10:50:00,31915.9,2020-01-09 11:40:00,32003.7,-87.8,-2029.15
NIFTY BANK,Short,2020-02-04 10:45:00,30442.95,2020-02-04 10:50:00,30495.45,-52.50,-2081.65
NIFTY BANK,Short,2020-02-04 11:25:00,30678.9,2020-02-04 11:30:00,30733.6,-54.7,-2136.35
NIFTY BANK,Short,2020-02-04 11:45:00,30729.25,2020-02-04 13:15:00,30687.65,41.60,-2094.75
NIFTY BANK,Short,2020-02-19 09:30:00,30699.95,2020-02-19 10:55:00,30714.1,-14.15,-2108.90
NIFTY BANK,Long,2020-03-12 11:10:00,24358.9,2020-03-12 13:55:00,24471.2,112.3,-1996.60
NIFTY BANK,Long,2020-03-13 10:20:00,22923.85,2020-03-13 12:40:00,24641.4,1717.55,-279.05
NIFTY BANK,Short,2020-03-25 13:30:00,18338.05,2020-03-25 13:40:00,18645.8,-307.75,-586.80
NIFTY BANK,Short,2020-03-26 10:45:00,20050.2,2020-03-26 12:00:00,20131.95,-81.75,-668.55
NIFTY BANK,Short,2020-04-07 14:05:00,18865.0,2020-04-07 15:00:00,19045.05,-180.05,-848.60
NIFTY BANK,Short,2020-04-20 09:30:00,20887.35,2020-04-20 10:30:00,20912.4,-25.05,-873.65
